Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge const* const&)
  0.00      0.00     0.00       60     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00       59     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_deallocate(Edge*, unsigned long)
  0.00      0.00     0.00       59     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       58     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::pair<int, int> >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.00     0.00       58     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::pair<int, int> >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      0.00     0.00       56     0.00     0.00  std::_Head_base<0ul, int const&, false>::_M_head(std::_Head_base<0ul, int const&, false>&)
  0.00      0.00     0.00       56     0.00     0.00  std::_Head_base<0ul, int const&, false>::_Head_base(int const&)
  0.00      0.00     0.00       56     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_M_head(std::_Tuple_impl<0ul, int const&>&)
  0.00      0.00     0.00       56     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(std::_Tuple_impl<0ul, int const&>&&)
  0.00      0.00     0.00       56     0.00     0.00  std::_Tuple_impl<0ul, int const&>::_Tuple_impl(int const&)
  0.00      0.00     0.00       56     0.00     0.00  std::tuple<int const&>::tuple<true, true>(int const&)
  0.00      0.00     0.00       56     0.00     0.00  std::tuple<int const&>::tuple(std::tuple<int const&>&&)
  0.00      0.00     0.00       56     0.00     0.00  int const& std::__get_helper<0ul, int const&>(std::_Tuple_impl<0ul, int const&>&)
  0.00      0.00     0.00       56     0.00     0.00  std::tuple_element<0ul, std::tuple<int const&> >::type& std::get<0ul, int const&>(std::tuple<int const&>&)
